,Unnamed: 0,句子,字,释义,正确选项（填序号）：
385,1921,自明诚，【谓】之教,谓,"1、<动>告诉；对……说
<例句：请往谓项王，言沛公不敢项王也。>
2、<动>说
<例句：因得观所谓石钟山者。>
3、<动>叫做；称为
<例句：褒禅山亦谓之华山。>
4、<动>以为；认为
<例句：愚谓大计不如迎之。>
5、<动>是；说的是
<例句：太守谓谁？>
",
895,2431,”其此之谓与！子曰：“愚而好自用，贱而好自专，生乎今之世，【反】古之道：如此者，灾及其身者也,反,"1、<形>方向相背；颠倒的
<例句：正>
<例句：非务相反也，时势异也。>
2、<动>翻转；翻覆
<例句：求之不得，展转反侧。>
3、<动>通“返”
<例句：寒暑易节，始一反焉。>
4、<动>背叛；造反
<例句：日夜望将军至，岂敢反乎。>
5、<动>违反；反对
<例句：反古者未必可非。>
6、<动>类推
<例句：举一隅，不以三隅反，则不复也。>
7、<动>反省
<例句：纣居于宣室而不及反其过。>
8、<副>反倒；反而
<例句：信知生男恶，反是生女好。>
<例句：今其智乃反不能及。>
",
677,2213,今夫天，斯昭昭之多，及其无穷也，日月星辰系焉，万物【覆】焉,覆,"1、<动>翻；翻转过来
<例句：譬如平地，虽覆一篑，进，吾往也。>
<例句：樊哙覆其盾于地。>
2、<动>覆没
<例句：至于颠覆，理固宜然。>
3、<动>遮盖；掩蔽
<例句：公阅毕，即解貂覆生，为掩户。>
<例句：枝枝相覆盖，叶叶相交通。>
4、<动>伏兵
<例句：楚人坐其北门而覆山下，大败之。>
5、<动>审察
<例句：反覆覆愚臣之言。>
6、<副>反；反而
<例句：不惩其心，覆怨其正。>
7、<动>通“复”，回复，回
<例句：赏赐决于外，不从中覆也。>
",
119,1655,所以修身也；去谗远色，贱货而贵德，所以劝贤也；尊其位，重其禄，同其好恶，所以劝亲亲也；官盛任使，所以劝大臣也；忠信重禄，所以劝士也；时使薄敛，所以劝百姓也；日省月试，既廪称事，所以【劝】百工也；送往迎来，嘉善而矜不能，所以柔远人也；继绝世，举废国，治乱持危,劝,"1、<动>鼓励；勉励
<例句：于是太公劝其女功，极技巧。>
<例句：各劝其业。>
2、<动>劝说
<例句：劝君更尽一杯酒，西出阳关无故人。>
",
1203,2739,唯天下至圣为能聪明睿知，足以有临也；宽裕温柔，足以有【容】也；发强刚毅，足以有执也；齐庄中正，足以有敬也；文理密察，足以有别也,容,"1、<名>容量；容积
<例句：察表候以知命，犹察斗斛以知容矣。>
2、<动>容纳
<例句：方正之不容也。>
3、<动>宽容
<例句：不能容人者无亲。>
4、<动>容许；许可
<例句：亡奈何矣，姑容我入。>
5、<动>收容
<例句：或脱身以逃，不能容于远近。>
6、<名>面容；面貌
<例句：颜色憔悴，形容枯槁。>
7、<名>脸色；神色
<例句：整顿衣裳起敛容。>
8、<动>修饰面容；打扮
<例句：士为知己者死，女为悦己者容。>
",
1165,2701,万物并育而不【相】害，道并行而不相悖，小德川流，大德敦化，此天地之这所以为大也,相,"1、<动>仔细看；观察
<例句：伯乐学相马。>
2、<名>相貌
<例句：儿已薄禄相，幸复得此妇。>
3、<动>帮助；辅助
<例句：至于幽暗昏惑而物以相之，亦不能至也。>
4、<名>帮助别人的人
<例句：危而不持，颠而不扶，则将用彼相矣。>
5、<名>辅佐君王的大臣；宰相
<例句：且庸人尚羞之，况于将相乎？>
6、<名>主持礼节仪式的人
<例句：宗庙之事。如会同，端章甫，愿为小相焉。>
7、<副>互相
<例句：茕茕孑立，形影相吊。>
8、<副>表示动作偏向一方
<例句：便可白公姥，及时相遣归。>
9、<副>递相；相继
<例句：吾本寒家，世以清白相承。>
10、<动>仔细看；观察
<例句：伯乐学相马。>
11、<名>相貌
<例句：儿已薄禄相，幸复得此妇。>
12、<动>帮助；辅助
<例句：至于幽暗昏惑而物以相之，亦不能至也。>
13、<名>帮助别人的人
<例句：危而不持，颠而不扶，则将用彼相矣。>
14、<名>辅佐君王的大臣；宰相
<例句：且庸人尚羞之，况于将相乎？>
15、<名>主持礼节仪式的人
<例句：宗庙之事。如会同，端章甫，愿为小相焉。>
16、<副>互相
<例句：茕茕孑立，形影相吊。>
17、<副>表示动作偏向一方
<例句：便可白公姥，及时相遣归。>
18、<副>递相；相继
<例句：吾本寒家，世以清白相承。>
",
1175,2711,万物并育而不相害，道并行而不相悖，小德川流，大德敦【化】，此天地之这所以为大也,化,"1、<动>改变；变化
<例句：变法者因时而化。>
<例句：然而灵用不同，玄化各异。>
2、<动>削除
<例句：钻燧取火，以化腥臊。>
3、<名>造化；大自然的功能
<例句：聊乘化以归尽，乐夫天命复奚疑。>
4、<名>教化；用教育感化的方法改变人心风俗
<例句：逮奉圣朝，沐浴清化。>
5、<名>风俗；风气
<例句：败俗伤化。>
6、<动>募化；乞讨
<例句：突有宋启富到门求吃化饭。>
7、<动>死的委婉说法
<例句：余今斯化，可以无恨。>
8、<动>改变；变化
<例句：变法者因时而化。>
<例句：然而灵用不同，玄化各异。>
9、<动>削除
<例句：钻燧取火，以化腥臊。>
10、<名>造化；大自然的功能
<例句：聊乘化以归尽，乐夫天命复奚疑。>
11、<名>教化；用教育感化的方法改变人心风俗
<例句：逮奉圣朝，沐浴清化。>
12、<名>风俗；风气
<例句：败俗伤化。>
13、<动>募化；乞讨
<例句：突有宋启富到门求吃化饭。>
14、<动>死的委婉说法
<例句：余今斯化，可以无恨。>
",
982,2518,王天下有三重焉，【其】寡过矣乎！上焉者虽善无徵，无徵不信，不信民弗从；下焉者虽善不尊，不尊不信，不信民弗从,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",
229,1765,获乎上有道，不信乎朋友，不获乎【上】矣；信乎朋友有道，不顺乎亲，不信乎朋友矣；顺乎亲有道，反诸身不诚，不顺乎亲矣；诚身有道，不明乎善，不诚乎身矣,上,"1、<名>上面；位置在高处的
<例句：辍耕之垄上，怅恨久之。>
<例句：新城之上。有池洼然而方以长。>
2、<形>等级高的；质量高的；上等
<例句：拜相如为上大夫。>
<例句：群臣吏民能面刺寡人之过者，受上赏。>
3、<名>地位高的人；主持、领导的人
<例句：上下同欲者胜。>
<例句：上自劳累。>
<例句：上伟之。>
4、<形>时间或次序在前的
<例句：上称帝喾，下道歉齐桓，中述汤武。>
<例句：东方千余骑，夫婿居上头。>
5、<动>上升；登上
<例句：郡县逼迫，催臣上道。>
<例句：十里，上黄泥冈。>
6、<副>向上
<例句：哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。>
<例句：上不臣于王，下不治其家，中不索交诸侯。>
7、<动>献上；送上；呈上
<例句：臣乃敢上壁。>
<例句：狱辞上。中有立决者。>
8、<动>向上；走向
<例句：上堂拜阿母。>
<例句：始复上街头理其故业。>
9、<动>装上；加上
<例句：以枪上刺刀相博击。>
10、<动>通“尚”
<例句：上农除未，黔首是富。>
11、<名>上声
<例句：至平上去入，则余病未能。>
12、<名>上面；位置在高处的
<例句：辍耕之垄上，怅恨久之。>
<例句：新城之上。有池洼然而方以长。>
13、<形>等级高的；质量高的；上等
<例句：拜相如为上大夫。>
<例句：群臣吏民能面刺寡人之过者，受上赏。>
14、<名>地位高的人；主持、领导的人
<例句：上下同欲者胜。>
<例句：上自劳累。>
<例句：上伟之。>
15、<形>时间或次序在前的
<例句：上称帝喾，下道歉齐桓，中述汤武。>
<例句：东方千余骑，夫婿居上头。>
16、<动>上升；登上
<例句：郡县逼迫，催臣上道。>
<例句：十里，上黄泥冈。>
17、<副>向上
<例句：哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。>
<例句：上不臣于王，下不治其家，中不索交诸侯。>
18、<动>献上；送上；呈上
<例句：臣乃敢上壁。>
<例句：狱辞上。中有立决者。>
19、<动>向上；走向
<例句：上堂拜阿母。>
<例句：始复上街头理其故业。>
20、<动>装上；加上
<例句：以枪上刺刀相博击。>
21、<动>通“尚”
<例句：上农除未，黔首是富。>
22、<名>上声
<例句：至平上去入，则余病未能。>
",
1387,2923,君子之道：淡而面不厌，【简】而文，温而理，知远之近，知风之自，知微之显，可与入德矣,简,"1、<名>写字用的竹简、竹片
<例句：策者，简也。>
2、<名>笏；手板
<例句：有一人紫衣象简前趋。>
3、<名>书信；信函
<例句：乃为一简答之。>
4、<动>同“拣”，挑选
<例句：盖简桃核修狭者为之。>
5、<形>简单；简略
<例句：盖叹郦元之简，而笑李渤之陋也。>
",
21,1557,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶【民】则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,民,"1、<名>古指奴隶，泛指庶民百姓
<例句：古者有四民：有士民，有商民，有农民，有工民。>
2、<名>人
<例句：上古之世，……民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。>
",
766,2302,“于乎不显，文王之德之纯！”盖曰【文】王之所以为文也，纯亦不已,文,"1、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
2、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
3、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
4、<名>文字
<例句：独其文犹可识。>
5、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
6、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
7、<名>文化；文教
<例句：文王既没，文不在兹乎？>
8、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
9、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
10、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
11、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
12、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
13、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
14、<名>文字
<例句：独其文犹可识。>
15、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
16、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
17、<名>文化；文教
<例句：文王既没，文不在兹乎？>
18、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
19、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
20、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
",
392,1928,诚则明矣，明【则】诚矣,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",
