,sentences,words,meanings,labels
0,天命之谓性，率性之谓道，【修】道之谓教,修,"1、<动>修饰
<例句：参为人矜严，好修容仪。>
2、<动>撰写；修改；润色
<例句：幕下儒生设意修词，援古证今，极力为之。>
3、<动>修理；修造；修建
<例句：修守战之具。>
4、<动>整治；治理
<例句：外结好孙权，内修政理。>
5、<动>修养；修行
<例句：臣修身洁行数十年。>
6、<动>效法；学习
<例句：一善易修也，一艺易能也。>
7、<形>长；高
<例句：此地有崇山峻岭，茂林修竹。>
8、<形>善；美好
<例句：老冉冉其将至，恐修名之不立。>
",0
1,道也者，不可【须】臾离也，可离非道也,须,"1、<名>胡须；胡子
<例句：行者见罗敷，下担捋髭须。>
2、<名>动物的触须
<例句：俄见小虫跃起，张尾伸须。>
3、<动>等待
<例句：人涉卬否，卬须我友。>
4、<动>需要
<例句：且放白鹿青崖间，须行即骑访名山。>
5、<副>应该
<例句：羌笛何须怨杨柳，春风不度玉门关。>
6、<副>本是
<例句：你须身姓刘，你妻须姓吕。>
7、<副>却
<例句：到丞相面前须分不得功。>
",0
2,莫见乎【隐】，莫显乎微，故君子慎其独也,隐,"1、<动>隐藏
<例句：其两膝相比者，各隐卷底衣褶中。>
2、<动>隐居，不出来做官
<例句：此子贤者，世莫能知，故隐屠间耳。>
3、<名>隐衷；隐情
<例句：有以文人画士孤癖之隐明告鬻梅者。>
4、<动>同情
<例句：王若隐其无罪而就死地，则牛羊何择焉。>
5、<副>暗地里
<例句：然睹促织，隐中胸怀。>
6、<名>矮墙
<例句：逾隐而待之。>
",
3,莫见乎隐，莫显乎微，故君子【慎】其独也,慎,"1、<形>谨慎；慎重
<例句：忧懈怠则思慎始而敬终。>
2、<副>表示告诫，用在否定句，意思是“千万”、“一定”
<例句：多谢后世人，戒之慎勿忘。>
",1 0
4,【喜】怒哀乐之未发，谓之中；发而皆中节，谓之和；中也者，天下之大本也；和也者，天下之达道也,喜,"1、<形>喜悦；欢喜
<例句：却看妻子愁何在，漫卷诗书喜欲狂。>
2、<动>喜爱；喜好
<例句：公子喜士，名闻天下。>
3、<名>喜事；吉庆的事情；令人高兴的事
<例句：固庆其喜而吊其忧。>
4、<名>专指妇女怀孕；身孕
<例句：叫大夫瞧了，又说并不是喜。>
",1 0
5,喜【怒】哀乐之未发，谓之中；发而皆中节，谓之和；中也者，天下之大本也；和也者，天下之达道也,怒,"1、<动>发怒
<例句：（左公）怒曰……。>
2、<形>气势强盛
<例句：则皆矫顾怒步，饮龁甚异。>
<例句：鲜花怒放>
<例句：狂风怒号>
",1 0
6,喜怒【哀】乐之未发，谓之中；发而皆中节，谓之和；中也者，天下之大本也；和也者，天下之达道也,哀,"1、<形>悲痛；伤心
<例句：伏尸而哭，极哀。>
<例句：词毕，又哀咤良久。>
<例句：秦人不暇自哀，而后人哀之。>
<例句：秦不哀吾丧而伐吾同姓。>
2、<动>怜悯；同情
<例句：是其为人，哀鳏寡，恤孤独，振困穷，补不足。>
<例句：君将哀而生之乎？>
3、〈名〉丧事
<例句：汉王为发哀，泣之而去。>
<例句：咏北狄之遐征，奏胡马之长思，凄入肝脾，哀。>
<例句：和峤虽备礼，神气不损；王戎虽不备礼，而哀。>
<例句：堪惜，征调千家，流离百室，哀满地悲戚。>
4、<形>悲痛；伤心
<例句：伏尸而哭，极哀。>
<例句：词毕，又哀咤良久。>
<例句：秦人不暇自哀，而后人哀之。>
<例句：秦不哀吾丧而伐吾同姓。>
5、<动>怜悯；同情
<例句：是其为人，哀鳏寡，恤孤独，振困穷，补不足。>
<例句：君将哀而生之乎？>
6、〈名〉丧事
<例句：汉王为发哀，泣之而去。>
<例句：咏北狄之遐征，奏胡马之长思，凄入肝脾，哀。>
<例句：和峤虽备礼，神气不损；王戎虽不备礼，而哀。>
<例句：堪惜，征调千家，流离百室，哀满地悲戚。>
",1 0
7,喜怒哀【乐】之未发，谓之中；发而皆中节，谓之和；中也者，天下之大本也；和也者，天下之达道也,乐,"1、<名>音乐
<例句：今夜闻君琵琶语，如听仙乐耳暂明。>
2、<名>乐器
<例句：掌六律六同之和……以为乐器。>
3、<动>欣赏音乐
<例句：独乐乐，与人乐乐，孰乐？>
4、<形>快乐
<例句：所以游目骋怀，足以极视听之娱，信可乐也。>
5、<名>乐趣
<例句：此乐何极。>
6、<动>喜欢；乐意
<例句：人未有不乐为治平之民者也。>
7、<名>音乐
<例句：今夜闻君琵琶语，如听仙乐耳暂明。>
8、<名>乐器
<例句：掌六律六同之和……以为乐器。>
9、<动>欣赏音乐
<例句：独乐乐，与人乐乐，孰乐？>
10、<形>快乐
<例句：所以游目骋怀，足以极视听之娱，信可乐也。>
11、<名>乐趣
<例句：此乐何极。>
12、<动>喜欢；乐意
<例句：人未有不乐为治平之民者也。>
",4 0
8,喜怒哀乐之未发，谓之【中】；发而皆中节，谓之和；中也者，天下之大本也；和也者，天下之达道也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
9,喜怒哀乐之未发，谓之中；发而皆中节，谓之【和】；中也者，天下之大本也；和也者，天下之达道也,和,"1、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
2、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
3、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
4、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
5、<介>连带；连同
<例句：时挑野菜和根煮。>
6、<介>与；跟
<例句：和那害民的贼徒折证。>
7、<连>与；和
<例句：八千里路云和月。>
8、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
9、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
10、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
11、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
12、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
13、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
14、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
15、<介>连带；连同
<例句：时挑野菜和根煮。>
16、<介>与；跟
<例句：和那害民的贼徒折证。>
17、<连>与；和
<例句：八千里路云和月。>
18、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
19、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
20、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
21、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
22、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
23、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
24、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
25、<介>连带；连同
<例句：时挑野菜和根煮。>
26、<介>与；跟
<例句：和那害民的贼徒折证。>
27、<连>与；和
<例句：八千里路云和月。>
28、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
29、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
30、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
31、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
32、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
33、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
34、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
35、<介>连带；连同
<例句：时挑野菜和根煮。>
36、<介>与；跟
<例句：和那害民的贼徒折证。>
37、<连>与；和
<例句：八千里路云和月。>
38、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
39、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
40、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
41、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
42、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
43、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
44、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
45、<介>连带；连同
<例句：时挑野菜和根煮。>
46、<介>与；跟
<例句：和那害民的贼徒折证。>
47、<连>与；和
<例句：八千里路云和月。>
48、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
49、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
50、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
51、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
52、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
53、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
54、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
55、<介>连带；连同
<例句：时挑野菜和根煮。>
56、<介>与；跟
<例句：和那害民的贼徒折证。>
57、<连>与；和
<例句：八千里路云和月。>
58、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
59、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
60、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
61、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
62、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
63、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
64、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
65、<介>连带；连同
<例句：时挑野菜和根煮。>
66、<介>与；跟
<例句：和那害民的贼徒折证。>
67、<连>与；和
<例句：八千里路云和月。>
68、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
69、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
70、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
71、<形>音乐和谐；协调
<例句：正六律，和五声，以通八风。>
72、<动>和好；交好
<例句：明年，秦割汉中地与楚议和。>
73、<形>温和；暖和
<例句：是日也，天朗气清，惠风和畅。>
74、<形>和悦；谦和
<例句：微察公子，公子颜色愈和。>
75、<介>连带；连同
<例句：时挑野菜和根煮。>
76、<介>与；跟
<例句：和那害民的贼徒折证。>
77、<连>与；和
<例句：八千里路云和月。>
78、<动>应和；跟着唱；跟着吹奏
<例句：荆轲和而歌。>
<例句：歌数阕，美人和之。>
<例句：客有吹洞箫者，倚歌而和之。>
79、<动>依照别人诗词的格律或内容作诗词
<例句：诗成遣谁和？>
80、<动>混合；揉合
<例句：其上以松脂、蜡和纸灰之类冒之。>
",0
