,Unnamed: 0,句子,字,释义,正确选项（填序号）：
1099,2635,远之则有望，近之则【不】厌,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",
1294,2830,舟车所至，人力所通，天之所覆，地之所载，日月所照，霜【露】所队，凡有血气者，莫不尊亲，故曰配天,露,"1、<名>露水
<例句：夫风雨霜露寒暑之变，此疾之所由生也。>
2、<介>露天；在室外、野外
<例句：变姓名，诡踪迹，草行露宿。>
3、<动>显露；暴露
<例句：袒胸露乳，矫首昂视。>
4、<名>露水
<例句：夫风雨霜露寒暑之变，此疾之所由生也。>
5、<介>露天；在室外、野外
<例句：变姓名，诡踪迹，草行露宿。>
6、<动>显露；暴露
<例句：袒胸露乳，矫首昂视。>
",
1434,2970,君子所不可及者，其唯【人】之所不见乎！《诗》云：“相在尔室，尚不愧于屋漏,人,"1、<名>人类
<例句：夫天者，人之始也。>
2、<名>人民；众人
<例句：人之立志，顾不如蜀鄙之僧哉?>
<例句：非独贤者有是心也，人皆有之。>
3、<名>别人；他们
<例句：老吾老，以及人人之老。>
4、<名>人才；杰出的人物
<例句：子无谓秦无人，吾谋适不用也。>
5、<名>人品；人的品德操行
<例句：是其为人也，有粮者亦食，无粮者亦食。>
",
253,1789,获乎上有道，不信乎朋友，不获乎上矣；信乎朋友有道，不顺乎亲，不信乎朋友矣；顺乎亲有道，反诸身不诚，不顺【乎】亲矣；诚身有道，不明乎善，不诚乎身矣,乎,"1、表疑问语气，可译为""吗""""呢""。
<例句：儿寒乎？欲食乎？>
<例句：岂有相公此时出见客乎？>
<例句：欲安所归乎？>
2、表测度语气，可译为""吧""。
<例句：王之好乐甚，则齐其庶几乎。>
<例句：其皆出于此乎？>
3、用于感叹句，可译为""啊""""呀""等。
<例句：呜呼！孰知赋敛之毒有甚是蛇者乎！>
4、用在句中的停顿处。
<例句：胡为乎遑遑欲何之？>
5、表反问语气，“吗”“呢”。
<例句：夫庸知其年之先后生于吾乎？>
6、表婉商语气，“吗”。
<例句：举大计亦死，等死，死国可乎>
7、用于祈使句，可不译。
<例句：长铗归来乎﹗出无车>
8、在。
<例句：出，跳梁乎井干之上。>
9、对、对于。
<例句：吾尝疑乎是。>
10、比。
<例句：其闻道也固先乎吾，吾从而师之。>
11、此外，可作词尾。
<例句：恢恢乎其于游刃必有余地矣！>
",
940,2476,虽有其位，苟无其德，不敢作礼乐焉；虽【有】其德,有,"1、<动>与“无”相对
<例句：有朋自远方来，不亦乐乎。>
2、<动>占有
<例句：沛公欲王关中，使子婴为相，珍宝尽有之。>
3、<动>掌握
<例句：有道之士，贵以近知远。>
4、<形>富有
<例句：礼生于有而废于无。>
5、<名>收获；出产的东西
<例句：退而甘食其土之有。>
6、<连>或者
<例句：故君子有不战，战则必胜。>
7、<助>用在动词前，以助语气
<例句：干将发硎，有作其芒。>
8、<副>通“又”，表示进一层
<例句：虽有槁暴，不复挺者，輮使之然也。>
9、<连>通“又”，用于整数与零数之间
<例句：臣密今年四十有四。>
10、<动>与“无”相对
<例句：有朋自远方来，不亦乐乎。>
11、<动>占有
<例句：沛公欲王关中，使子婴为相，珍宝尽有之。>
12、<动>掌握
<例句：有道之士，贵以近知远。>
13、<形>富有
<例句：礼生于有而废于无。>
14、<名>收获；出产的东西
<例句：退而甘食其土之有。>
15、<连>或者
<例句：故君子有不战，战则必胜。>
16、<助>用在动词前，以助语气
<例句：干将发硎，有作其芒。>
17、<副>通“又”，表示进一层
<例句：虽有槁暴，不复挺者，輮使之然也。>
18、<连>通“又”，用于整数与零数之间
<例句：臣密今年四十有四。>
",
1135,2671,仲尼祖述尧舜，宪章文武：上律【天】时，下袭水土,天,"1、<名>天空
<例句：是日也，天朗气清，惠风和畅。>
<例句：其容清明，天高日晶。>
<例句：天似穹庐，笼盖四野。>
2、<名>天气；气候
<例句：可怜身上衣正单，心忧炭贱愿天寒。>
3、<名>自然；本性
<例句：依乎天理，批大郤，导大窾。>
4、<名>古代人们想像中万事万物的主宰者
<例句：秦违蹇叔而以贪勤民，天奉我也。>
<例句：隘而不列，天赞我也。>
<例句：此天亡我也，非战之罪也。>
5、<名>人们赖以生存的人物
<例句：王者以民人为天，而民人以食为天。>
",
1235,2771,溥博渊泉，【而】时出之,而,"1、表示并列关系。
<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>
<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>
<例句：北救赵而西却秦，此五霸之伐也>
2、表示递进关系。
<例句：君子博学而日参省乎己。>
<例句：楚怀王贪而信张仪，遂绝齐>
<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>
<例句：以其求思之深而无不在也>
3、表示承接关系。
<例句：故舍汝而旅食京师，以求斗斛之禄>
<例句：置之地，拔剑撞而破之。>
<例句：积善成德，而神明自得，圣心备焉。>
<例句：人非生而知之者，孰能无惑>
4、表示转折关系。
<例句：青，取之于蓝，而青于蓝>
<例句：有如此之势，而为秦人积威之所劫>
<例句：信也，吾兄之盛德而夭其嗣乎>
5、表示假设关系。
<例句：诸君而有意，瞻予马首可也。>
<例句：死而有知，其几何离>
<例句：锲而不舍，金石可镂。>
<例句：人而无信，不知其可也。>
6、表示修饰关系。
<例句：吾尝跂而望矣，不如登高之博见也>
<例句：填然鼓之，兵刃既接，弃甲曳兵而走>
<例句：项王按剑而跽曰：""客何为者？"">
7、表示因果关系。
<例句：余亦悔其随之而不得极夫游之乐也>
<例句：表恶其能而不用也>
<例句：小人不知天命而不畏也。>
8、表示目的关系。
<例句：缦立远视，而望幸焉>
<例句：籍吏民，封府库，而待将军>
<例句：吾恂恂而起。>
9、代词。第二人称，一般作定语，译为""你的""，偶尔也作主语，译为""你""。
<例句：而翁长铨，迁我京职，则汝朝夕侍母。>
10、相当于“以”，表范围。
<例句：形而上者谓之道，形而下者谓之器>
11、表反问语气，相当于“岂”。
<例句：为仁由己，而由人乎哉>
12、动词。同“如”，好像，如同。
<例句：溺死者千有余人军惊而坏都舍。>
13、复音虚词""而已""。放在句末，表示限止的语气助词，相当于""罢了""。
<例句：一人、一桌、一椅、一扇、一抚尺而已。>
<例句：闻道有先后，术业有专攻，如是而已。>
",
1024,2560,故君子之道：本诸身，徵诸庶民，【考】诸三王而不缪，建诸天地而不悖，质诸鬼神而无疑，百世以俟圣人而不惑,考,"1、<形>老；年纪大
<例句：使君寿考。>
<例句：至于富贵寿考，亦惟听之天命。>
2、<名>父亲
<例句：子弗祇服厥父事，大伤厥考心。>
<例句：皇考讳镇。>
3、<动>考核；考试
<例句：三载考绩。>
4、<动>考察；推究
<例句：甚者且姓名不可考。>
5、<动>敲打；敲击
<例句：而陋者乃以斧斤考击而求之。>
",
840,2376,温故而知新，敦厚【以】崇礼,以,"1、……身份""等。
<例句：以故法为其国与此同。>
<例句：愿以十五城请易璧。>
<例句：乃入见。问：""何以战？"">
<例句：余船以次俱进。>
<例句：是时以大中丞抚吴者为魏之私人……>
2、起提宾作用，""把""。
<例句：秦亦不以城予赵，赵亦终不予秦璧。>
3、表示动作、行为产生的原因，可译为""因""""由于""。
<例句：且以一璧之故逆强秦之欢，不可。>
<例句：时操军兼以饥疫，死者大半。>
4、引进动作、行为发生的时间和处所，用法同""于""。可译为""在""""从""。
<例句：余以乾隆三十九年十二月，自京师乘风雪，……至于泰安。>
<例句：今以长沙豫章往，水道多绝，难行。>
5、表示动作、行为的对象，用法同""与""，可译为""和""""跟""，有时可译为""率领""。
<例句：天下有变，王割汉中以楚和。>
<例句：（公子）欲以客往赴秦军，与赵俱死。>
6、，可译为''而""""又""""而且""""并且""等，或者省去。
<例句：夫夷以近，则游者众……>
7、表示承接关系，""以""前的动作行为，往往是后一动作行为的手段或方式。可译为""而""或省去。
<例句：余与四人拥火以入。>
8、表示目的关系，""以""后的动作行为，往往是前一动作行为的目的或结果。可译为""而""""来""""用来""""以致""等。
<例句：作《师说》以贻之。>
<例句：敛赀财以送其行。>
<例句：不宜妄自菲薄……以塞忠谏之路也。>
9、表示因果关系，常用在表原因的分句前，可译为''因为""。
<例句：诸侯以公子贤，多客，不敢加兵谋魏十余年。>
<例句：古人……以其求思之深而无不在也。>
10、复音虚词""以是""""是以""，相当于""因此""，引出事理发展或推断的结果。
<例句：以是人多以书假余，余因得遍观群书。>
<例句：余是以记之，盖叹郦元之简，而笑李渤之陋也。>
<例句：是以十九年而刀刃若新发于硎。>
",
1086,2622,是故君子动而世为天下道，行而世为天下法，言【而】世为天下则,而,"1、表示并列关系。
<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>
<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>
<例句：北救赵而西却秦，此五霸之伐也>
2、表示递进关系。
<例句：君子博学而日参省乎己。>
<例句：楚怀王贪而信张仪，遂绝齐>
<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>
<例句：以其求思之深而无不在也>
3、表示承接关系。
<例句：故舍汝而旅食京师，以求斗斛之禄>
<例句：置之地，拔剑撞而破之。>
<例句：积善成德，而神明自得，圣心备焉。>
<例句：人非生而知之者，孰能无惑>
4、表示转折关系。
<例句：青，取之于蓝，而青于蓝>
<例句：有如此之势，而为秦人积威之所劫>
<例句：信也，吾兄之盛德而夭其嗣乎>
5、表示假设关系。
<例句：诸君而有意，瞻予马首可也。>
<例句：死而有知，其几何离>
<例句：锲而不舍，金石可镂。>
<例句：人而无信，不知其可也。>
6、表示修饰关系。
<例句：吾尝跂而望矣，不如登高之博见也>
<例句：填然鼓之，兵刃既接，弃甲曳兵而走>
<例句：项王按剑而跽曰：""客何为者？"">
7、表示因果关系。
<例句：余亦悔其随之而不得极夫游之乐也>
<例句：表恶其能而不用也>
<例句：小人不知天命而不畏也。>
8、表示目的关系。
<例句：缦立远视，而望幸焉>
<例句：籍吏民，封府库，而待将军>
<例句：吾恂恂而起。>
9、代词。第二人称，一般作定语，译为""你的""，偶尔也作主语，译为""你""。
<例句：而翁长铨，迁我京职，则汝朝夕侍母。>
10、相当于“以”，表范围。
<例句：形而上者谓之道，形而下者谓之器>
11、表反问语气，相当于“岂”。
<例句：为仁由己，而由人乎哉>
12、动词。同“如”，好像，如同。
<例句：溺死者千有余人军惊而坏都舍。>
13、复音虚词""而已""。放在句末，表示限止的语气助词，相当于""罢了""。
<例句：一人、一桌、一椅、一扇、一抚尺而已。>
<例句：闻道有先后，术业有专攻，如是而已。>
",
